symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
ASIANTILES,NSE,ASIANTILES.NS,Asian Granito Ind.,ASIANTILES|Asian Granito Ind.|Asian Granito Ind. Limited,,INE022I01019,14889,IIFL_SCRIPMASTER
AHLEAST,NSE,AHLEAST.NS,Asian Hotels (East),AHLEAST|Asian Hotels (East)|Asian Hotels (East) Limited,,INE926K01017,19438,IIFL_SCRIPMASTER
ASIANHOTNR,NSE,ASIANHOTNR.NS,Asian Hotels (North),ASIANHOTNR|Asian Hotels (North)|Asian Hotels (North) Limited,,INE363A01022,18422,IIFL_SCRIPMASTER
ASIANPAINT,NSE,ASIANPAINT.NS,Asian Paints,ASIANPAINT|Asian Paints|Asian Paints Limited,,INE021A01026,236,IIFL_SCRIPMASTER
ASTAR,NSE,ASTAR.NS,Asian Star Co.,ASTAR|Asian Star Co.|Asian Star Co. Limited,,INE194D01017,762553,IIFL_SCRIPMASTER
ASKAUTOLTD,NSE,ASKAUTOLTD.NS,Ask Automotive,ASKAUTOLTD|Ask Automotive|Ask Automotive Limited,,INE491J01022,20152,IIFL_SCRIPMASTER
ASPINWALL,NSE,ASPINWALL.NS,Aspinwall & Co,ASPINWALL|Aspinwall & Co|Aspinwall & Co Limited,,INE991I01015,17270,IIFL_SCRIPMASTER
ASALCBR,NSE,ASALCBR.NS,Asso Alcohols & Brew,ASALCBR|Asso Alcohols & Brew|Asso Alcohols & Brew Limited,,INE073G01016,17598,IIFL_SCRIPMASTER
ASTEC,NSE,ASTEC.NS,Astec Lifesciences,ASTEC|Astec Lifesciences|Astec Lifesciences Limited,,INE563J01010,17728,IIFL_SCRIPMASTER
ASTERDM,NSE,ASTERDM.NS,Aster Dm Healthcare,ASTERDM|Aster Dm Healthcare|Aster Dm Healthcare Limited,,INE914M01019,1508,IIFL_SCRIPMASTER
ASTRAMICRO,NSE,ASTRAMICRO.NS,Astra Microwave,ASTRAMICRO|Astra Microwave|Astra Microwave Limited,,INE386C01029,11618,IIFL_SCRIPMASTER
ASTRAL,NSE,ASTRAL.NS,Astral,ASTRAL|Astral|Astral Limited,,INE006I01046,14418,IIFL_SCRIPMASTER
ASTRAZEN,NSE,ASTRAZEN.NS,Astrazeneca Pharma Ind Lt,ASTRAZEN|Astrazeneca Pharma Ind Lt,,INE203A01020,5610,IIFL_SCRIPMASTER
ATALREAL,NSE,ATALREAL.NS,Atal Realtech,ATALREAL|Atal Realtech|Atal Realtech Limited,,INE0ALR01029,15649,IIFL_SCRIPMASTER
ATAM,NSE,ATAM.NS,Atam Valves,ATAM|Atam Valves|Atam Valves Limited,,INE09KD01013,15404,IIFL_SCRIPMASTER
ATHERENERG,NSE,ATHERENERG.NS,Ather Energy,ATHERENERG|Ather Energy|Ather Energy Limited,,INE0LEZ01016,757645,IIFL_SCRIPMASTER
ATLANTAELE,NSE,ATLANTAELE.NS,Atlanta Electricals,ATLANTAELE|Atlanta Electricals|Atlanta Electricals Limited,,INE0Z4F01028,759007,IIFL_SCRIPMASTER
ATLANTAA,NSE,ATLANTAA.NS,Atlantaa,ATLANTAA|Atlantaa|Atlantaa Limited,,INE285H01022,13585,IIFL_SCRIPMASTER
ATLASCYCLE,NSE,ATLASCYCLE.NS,Atlas Cycle (Haryana),ATLASCYCLE|Atlas Cycle (Haryana)|Atlas Cycle (Haryana) Limited,,INE446A01025,4568,IIFL_SCRIPMASTER
ATUL,NSE,ATUL.NS,Atul,ATUL|Atul|Atul Limited,,INE100A01010,263,IIFL_SCRIPMASTER
ATULAUTO,NSE,ATULAUTO.NS,Atul Auto,ATULAUTO|Atul Auto|Atul Auto Limited,,INE951D01028,30023,IIFL_SCRIPMASTER
AUBANK,NSE,AUBANK.NS,Au Small Finance Bank,AUBANK|Au Small Finance Bank|Au Small Finance Bank Limited,,INE949L01017,21238,IIFL_SCRIPMASTER
AURIGROW,NSE,AURIGROW.NS,Auri Grow India,AURIGROW|Auri Grow India|Auri Grow India Limited,,INE925Y01036,1607,IIFL_SCRIPMASTER
AURIONPRO,NSE,AURIONPRO.NS,Aurionpro Soln,AURIONPRO|Aurionpro Soln|Aurionpro Soln Limited,,INE132H01018,12022,IIFL_SCRIPMASTER
AUROPHARMA,NSE,AUROPHARMA.NS,Aurobindo Pharma,AUROPHARMA|Aurobindo Pharma|Aurobindo Pharma Limited,,INE406A01037,275,IIFL_SCRIPMASTER
AURUM,NSE,AURUM.NS,Aurum Proptech,AURUM|Aurum Proptech|Aurum Proptech Limited,,INE898S01029,10310,IIFL_SCRIPMASTER
AIIL,NSE,AIIL.NS,Authum Invest & Infra,AIIL|Authum Invest & Infra|Authum Invest & Infra Limited,,INE206F01022,23553,IIFL_SCRIPMASTER
AUTOAXLES,NSE,AUTOAXLES.NS,Automotive Axles,AUTOAXLES|Automotive Axles|Automotive Axles Limited,,INE449A01011,278,IIFL_SCRIPMASTER
ASAL,NSE,ASAL.NS,Automotive Stampings & As,ASAL|Automotive Stampings & As,,INE900C01027,10634,IIFL_SCRIPMASTER
